,Features,Linear Coefficient,Ridge Coefficient,Difference
30,Dial Shape_Rectangle,0.10334682230019349,0.04139726407292777,0.061949558227265715
31,Dial Shape_Square,0.02209527143885444,0.00913382983343906,0.012961441605415378
32,Strap Color_Beige,-0.3848422622393296,-0.025273248503631593,-0.359569013735698
33,Strap Color_Black,-0.254223978935445,-0.06732673759277381,-0.18689724134267122
34,Strap Color_Blue,-0.2764759402522237,-0.05038746337398948,-0.22608847687823425
35,Strap Color_Brown,-0.3964630440612591,-0.045042738684657024,-0.35142030537660207
36,Strap Color_Burgundy,0.539627989136914,0.048721017909977224,0.4909069712269368
37,Strap Color_Charcoal,0.19779038985865277,0.02247857309060599,0.17531181676804677
38,Strap Color_Deep Wine,-0.7345013345222831,-0.0333188449116939,-0.7011824896105892
39,Strap Color_Gold,-0.31420169614544347,-0.029683412642713628,-0.28451828350272984
40,Strap Color_Graphite,-0.209576944892289,-0.009251257326071221,-0.2003256875662178
41,Strap Color_Green,-0.21457440173825346,-0.018236201595195862,-0.19633820014305758
42,Strap Color_Grey,-0.1269672973155829,-0.004672063787648862,-0.12229523352793403
43,Strap Color_Maroon,0.09549884884163734,0.010878622598537087,0.08462022624310025
44,Strap Color_Midnight,-0.13467078694465412,-0.001270764309916729,-0.13340002263473738
45,Strap Color_Missing,-0.1331711474270818,-0.031072851159878245,-0.10209829626720356
46,Strap Color_Misty Rose,-0.2808990788404352,-0.008961965248178085,-0.2719371135922571
47,Strap Color_Morning Glow,-0.23490078602322434,-0.007422848525710062,-0.22747793749751427
48,Strap Color_Multicolor,0.5635160348779482,0.03520075240981806,0.5283152824681302
49,Strap Color_Orange,-0.3486450824436682,-0.02199109758345592,-0.3266539848602123
50,Strap Color_Orange Alpine,-0.2147358144884443,-0.005560798638739434,-0.20917501584970488
51,Strap Color_Passion Pink,-0.19661499919792447,-0.005351047744895371,-0.1912639514530291
52,Strap Color_Pink,-0.30557046030047563,-0.03347853242526142,-0.2720919278752142
53,"Strap Color_Pink, Gold",-0.1175326960085851,-0.0006113221854886578,-0.11692137382309643
54,Strap Color_Purple,-0.30568532418564687,-0.01869094223450964,-0.28699438195113725
55,Strap Color_Red,-0.09593667591404847,0.001390619837597775,-0.09732729575164625
56,Strap Color_Rose Gold,0.06981929349430283,0.013369557130813161,0.05644973636348966
57,Strap Color_Silver,-0.15533389817919796,-0.008162040817035747,-0.1471718573621622
58,Strap Color_Starlight Sport,-0.5892796773215422,-0.04256277856833958,-0.5467168987532026
59,Strap Color_White,-0.31615315721825554,-0.031677117598680436,-0.2844760396195751
60,Strap Material_Carbon-Fiber;,0.06369163216740104,0.0009714673984226927,0.06272016476897835
61,Strap Material_Fabric,-0.35190713020446585,-0.02971550701776252,-0.3221916231867033
62,Strap Material_Fluoroelastomer,0.28481131294121353,0.042774850570466705,0.24203646237074683
63,Strap Material_Leather,0.3255557536176003,0.057557403797458655,0.26799834982014165
64,Strap Material_Missing,0.1924595495890833,0.04932476096539779,0.1431347886236855
65,Strap Material_Nylon,0.5136344005696746,0.025502825002653936,0.48813157556702064
66,Strap Material_Other,0.23747668546037565,0.04118342466484904,0.19629326079552661
67,Strap Material_Plastic,-0.03632574056234819,-0.0040927962118725665,-0.03223294435047563
68,Strap Material_Rubber,0.30174417848144364,0.06903784129337547,0.23270633718806816
69,Strap Material_Silicon,0.29784930285528793,0.12838470536088403,0.1694645974944039
70,Strap Material_Stainless Steel,0.24739088242090532,0.041968509723321334,0.20542237269758398
71,Strap Material_Synthetic,0.09508576372450017,0.0041883732117662595,0.0908973905127339
72,Strap Material_Thermo Plastic Polyurethene,0.34891318191180987,0.04356749572948749,0.3053456861823224
73,Weight_35 - 50 g,0.10642290087340478,0.03267077107758281,0.07375212979582196
74,Weight_50 - 75 g,0.2837736351713599,0.046597129146349614,0.23717650602501028
75,Weight_75g +,-0.009498203590470933,-0.0038009610205782226,-0.00569724256989271
76,Weight_<= 20 g,0.03228326091995673,0.010146058448412517,0.022137202471544215
