Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
noise,3799.0,7999.0,52.50656332,3.8,545.0,Wrb-sw-colorfitpro4alpha-std-blk_blk,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
noise,3499.0,5999.0,41.67361227,3.8,281.0,Wrb-sw-force-std-blk_blk,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
noise,1999.0,5999.0,66.67777963,4.1,9081.0,wrb-sw-colorfitultrabuzz-std-ogrn_ogrn,Unknown,Unknown,Other,1,14.077392344497609,1,1.8,35 - 50 g
noise,1499.0,4999.0,70.0140028,4.0,93075.0,wrb-sw-colorfitpro2-std-blk,Unknown,Unknown,Polycarbonate,1,3.6,1,1.3,20 - 35 g
noise,1799.0,4999.0,64.01280256,4.1,13901.0,Wrb-sw-colorfitpulsegobuzz-std-gry_gry,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
noise,1999.0,5999.0,66.67777963,4.1,8765.0,Wrb-sw-colorfitpulse2max-std-blu_blu,Unknown,Unknown,Other,1,8.0,1,1.9,35 - 50 g
noise,1999.0,5999.0,66.67777963,4.1,9081.0,wrb-sw-colorfitultrabuzz-std-blk_blk,Unknown,Unknown,Other,1,14.077392344497609,1,1.8,35 - 50 g
noise,2499.0,5999.0,58.34305718,3.5,227.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.3,35 - 50 g
noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-blu_blu,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
noise,2999.0,5999.0,50.00833472,4.1,5866.0,Wrb-sw-colorfitpro4-std-slvr_org,Unknown,Unknown,Other,1,14.077392344497609,1,1.7,35 - 50 g
boat,2699.0,7990.0,66.22027534,4.2,71481.0,Unknown,Unknown,Unknown,Silicon,1,8.0,1,1.7,50 - 75 g
boat,2499.0,7990.0,68.72340426,4.2,71481.0,8.90E+12,Unknown,Unknown,Silicon,1,8.0,1,1.5,50 - 75 g
boat,1199.0,6990.0,82.84692418,4.0,27771.0,Watch Flash,Unknown,Unknown,Silicon,1,8.0,1,1.3,50 - 75 g
boat,1799.0,6990.0,74.26323319,3.9,2931.0,Watch Blaze,Unknown,Unknown,Metal,1,8.0,1,1.8,35 - 50 g
boat,2599.0,7990.0,67.4718398,4.2,71481.0,8.90E+12,Unknown,Unknown,Silicon,1,8.0,1,1.5,75g +
boat,1999.0,7990.0,74.98122653,3.6,827.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
boat,1999.0,7990.0,74.98122653,3.6,827.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.5,75g +
noise,1799.0,4999.0,64.01280256,4.0,69803.0,Wrb-sw-colorfitpulse2-std-blu_blu,Unknown,Unknown,Other,1,14.077392344497609,1,1.8,35 - 50 g
boat,1699.0,6990.0,75.69384835,3.9,23498.0,Wave Lite,Unknown,Unknown,Stainless Steel,1,8.0,1,1.7,35 - 50 g
noise,1799.0,4999.0,64.01280256,4.1,13901.0,wrb-sw-colorfitpulsegobuzz-std-grn_grn,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
boat,1449.0,5990.0,75.8096828,3.9,3944.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.7,35 - 50 g
boat,1899.0,6499.0,70.78012002,3.7,328.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.7,35 - 50 g
boat,2199.0,7999.0,72.50906363,4.1,996.0,BoAt Wave Call Plus,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.8,75g +
honor,11499.0,18999.0,39.47576188,3.9,406.0,MUS-B19,Unknown,Unknown,Unknown,1,12.5,1,1.4,35 - 50 g
honor,2199.0,1868.0,-17.71948608,4.1,181.0,ARG-B39-cr,Unknown,Unknown,Unknown,1,3.5,1,1.5,<= 20 g
honor,11499.0,9773.0,-17.66090249,4.2,20.0,MUS-B19-cr,Unknown,Unknown,Unknown,1,12.5,1,1.4,35 - 50 g
honor,14999.0,12499.0,-20.00160013,3.9,100.0,Talos-B19S-cr,Unknown,Unknown,Other,1,0.75,1,1.2,75g +
crossbeats,2999.0,9999.0,70.0070007,4.3,674.0,Grit,Unknown,Unknown,Unknown,1,12.5,1,1.8,20 - 35 g
honor,8999.0,14999.0,40.00266684,4.4,7792.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.4,35 - 50 g
crossbeats,5999.0,14999.0,60.00400027,4.3,996.0,Infinti 2.0,Unknown,Unknown,Unknown,1,8.0,1,1.4,20 - 35 g
honor,8999.0,7473.0,-20.42017931,4.1,323.0,Minos-B19S-cr,Unknown,Unknown,Other,1,0.75,1,1.4,75g +
samsung,11999.0,30990.0,61.28105841,4.1,72.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,35 - 50 g
samsung,18410.0,37999.0,51.55135661,4.3,5228.0,Unknown,Unknown,Unknown,Unknown,1,3.6,1,1.5,50 - 75 g
samsung,3999.0,7999.0,50.006250781347674,4.3,5228.0,Unknown,Unknown,Unknown,Unknown,1,3.6,1,1.5,20 - 35 g
samsung,17999.0,19990.0,9.95997999,4.3,5228.0,Unknown,Unknown,Unknown,Unknown,1,3.6,1,1.5,20 - 35 g
samsung,18000.0,34999.0,48.56995914,4.3,5228.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
garmin,16990.0,22490.0,24.45531347,4.3,312.0,GM-010-02427-80,Unknown,Unknown,Silicon,1,22.0,1,1.3,35 - 50 g
garmin,27990.0,36490.0,23.29405317,4.5,4339.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,<= 20 g
garmin,3999.0,7999.0,50.006250781347674,3.7,6.0,Unknown,Unknown,Unknown,Unknown,1,22.0,1,1.5,35 - 50 g
garmin,18990.0,27990.0,32.15434084,4.3,19.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,<= 20 g
garmin,3999.0,7999.0,50.006250781347674,5.0,1.0,Unknown,Unknown,Unknown,Unknown,1,22.0,1,1.5,35 - 50 g
garmin,34990.0,51990.0,32.69859588,4.3,19.0,GM-010-02445-60,Unknown,Unknown,Carbon-Fiber;,1,8.0,1,1.5,35 - 50 g
garmin,3999.0,7999.0,50.006250781347674,3.8,38.0,7.54E+11,Unknown,Unknown,Stainless Steel,1,8.0,1,1.5,75g +
garmin,20990.0,25990.0,19.23816853,4.3,127.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,<= 20 g
garmin,18990.0,20490.0,7.320644217,3.5,7.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,20 - 35 g
garmin,78490.0,89460.0,12.26246367,4.4,6.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,<= 20 g
huawei,26581.0,42513.0,37.4755957,4.7,830.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.4,35 - 50 g
huawei,16499.0,29999.0,45.00150005,4.7,7108.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.4,35 - 50 g
huawei,6400.0,11999.0,46.66222185,4.5,49.0,Leia-B19,Unknown,Unknown,Unknown,1,8.0,1,0.5,75g +
noise,3799.0,7999.0,52.50656332,3.8,545.0,Wrb-sw-colorfitpro4alpha-std-slvr_gry,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
dizo,2126.0,5999.0,64.56076013,3.7,18.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.9,20 - 35 g
dizo,2999.0,1669.0,-79.68843619,4.0,2.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
dizo,3999.0,7999.0,50.006250781347674,2.4,7.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
fire-boltt,3999.0,7999.0,50.006250781347674,4.3,39274.0,BSW049,Unknown,Unknown,Silicon,1,3.5,1,1.3,35 - 50 g
dizo,4299.0,6999.0,38.57693956,2.5,2.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.5,75g +
fire-boltt,1299.0,9999.0,87.00870087,4.2,25784.0,BSW030,Unknown,Unknown,Silicon,1,8.0,1,1.7,35 - 50 g
fire-boltt,1799.0,9999.0,82.00820082,4.2,33415.0,BSW042,Unknown,Unknown,Silicon,1,8.0,1,1.3,50 - 75 g
noise,1799.0,4999.0,64.01280256,4.1,13901.0,wrb-sw-colorfitpulsegobuzz-std-rgld_pnk,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
gizmore,1699.0,5499.0,69.10347336,2.7,10.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
gizmore,1599.0,5999.0,73.34555759,4.3,37.0,GIZFIT 908 Pro_Black,Unknown,Unknown,Unknown,1,12.5,1,1.7,75g +
gizmore,1499.0,5999.0,75.01250208,4.1,996.0,Gizmore Ultra smartwatch-cr,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
gizmore,1699.0,7999.0,78.75984498,2.0,5.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.7,50 - 75 g
gizmore,3299.0,5999.0,45.00750125,4.0,102.0,Gizfit 910,Unknown,Unknown,Unknown,1,8.0,1,1.3,75g +
gizmore,1499.0,5999.0,75.01250208,3.0,2.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
gizmore,3299.0,5999.0,45.00750125,4.0,102.0,910,Unknown,Unknown,Plastic,1,12.5,1,1.3,75g +
gizmore,1699.0,5499.0,69.10347336,2.5,3.0,Gizfit Blaze Smartwatch-cr,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,75g +
ambrane,2368.0,4499.0,47.36608135,3.5,301.0,FitShot Curl,Unknown,Unknown,Unknown,1,12.5,1,1.5,35 - 50 g
ambrane,2199.0,4999.0,56.01120224,3.9,256.0,FitShot Sphere,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
fire-boltt,1799.0,2199.0,18.1900864,4.3,39274.0,BSW049,Unknown,Unknown,Silicon,1,3.5,1,1.3,35 - 50 g
fire-boltt,1999.0,7999.0,75.00937617,4.1,33012.0,BSW024,Unknown,Unknown,Silicon,1,8.0,1,1.7,35 - 50 g
zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,ZEB-DRIP,Unknown,Unknown,Unknown,1,3.5,1,1.5,35 - 50 g
noise,1799.0,3999.0,55.01375344,4.0,32704.0,wrb-sw-colorfitgrand-std-cgry_cgry,Unknown,Unknown,Other,1,8.0,1,1.7,35 - 50 g
pebble,2999.0,6999.0,57.15102157,3.8,3563.0,PFB22 Mint Green,Unknown,Unknown,Unknown,1,8.0,1,1.8,75g +
pebble,4499.0,7499.0,40.00533404,3.6,94.0,PFB13 Charcoal Black,Unknown,Unknown,Unknown,1,12.5,1,1.3,35 - 50 g
pebble,3999.0,7999.0,50.006250781347674,3.6,725.0,PFB16 Black Rock,Unknown,Unknown,Unknown,1,12.5,1,1.3,50 - 75 g
pebble,4299.0,7499.0,42.67235631,3.6,55.0,PFB24,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.1,35 - 50 g
crossbeats,3999.0,11999.0,66.67222269,3.9,3856.0,S4 Max,Unknown,Unknown,Unknown,1,3.6,1,1.9,20 - 35 g
crossbeats,3999.0,7999.0,50.00625078,3.9,3856.0,S4 Max,Unknown,Unknown,Unknown,1,3.6,1,1.9,20 - 35 g
fire-boltt,2499.0,9999.0,75.00750075,4.1,2571.0,BSW072,Unknown,Unknown,Unknown,1,8.0,1,2.0,75g +
hammer,1799.0,4999.0,64.01280256,3.6,516.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.8,75g +
zebronics,2099.0,7999.0,73.7592199,3.8,7386.0,ZEB-FIT7220CH (Metallic Silver),Unknown,Unknown,Metal,1,8.0,1,1.5,75g +
zebronics,1999.0,3999.0,50.01250313,3.8,2452.0,Zeb-Fit280CH(Blue),Unknown,Unknown,Other,1,8.0,1,1.5,75g +
zebronics,2449.0,8499.0,71.18484528,3.9,207.0,Unknown,Unknown,Unknown,Unknown,1,8.0,1,1.5,35 - 50 g
zebronics,1399.0,3999.0,65.01625406,4.0,311.0,Unknown,Unknown,Unknown,Unknown,1,14.077392344497609,1,1.5,35 - 50 g
zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,ZEB-DRIP (BLUE),Unknown,Unknown,Unknown,1,3.5,1,1.5,35 - 50 g
zebronics,3499.0,11499.0,69.57126707,4.2,52.0,ZEB FIT 4 - BLACK (ICONIC ULTRA),Unknown,Unknown,Unknown,1,0.75,1,1.8,50 - 75 g
zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 - METALLIC BLACK,Unknown,Unknown,Unknown,1,8.0,1,1.5,50 - 75 g
zebronics,1999.0,6999.0,71.43877697,3.8,2138.0,ZEB-DRIP (METAL SILVER),Unknown,Unknown,Unknown,1,3.5,1,1.5,35 - 50 g
zebronics,2399.0,5999.0,60.01000167,3.8,3805.0,ZEB-FIT5220CH(Gold Metal),Unknown,Unknown,Other,1,22.0,1,1.5,35 - 50 g
zebronics,3999.0,7999.0,50.006250781347674,3.5,100.0,ZEB-FIT7220CH (Metallic Silver)-cr,Unknown,Unknown,Unknown,1,8.0,1,1.5,75g +
zebronics,3599.0,10999.0,67.27884353,3.9,1611.0,ZEB - COSMOS Lv1 CLASSIC BLACK,Unknown,Unknown,Unknown,1,8.0,1,1.5,50 - 75 g
fire-boltt,1299.0,7999.0,83.76047006,4.2,25784.0,BSW030,Unknown,Unknown,Silicon,1,8.0,1,1.7,35 - 50 g
fire-boltt,2499.0,11999.0,79.17326444,4.1,1990.0,BSW070,Unknown,Unknown,Unknown,1,8.0,1,1.9,75g +
fire-boltt,2499.0,9999.0,75.00750075,4.2,23302.0,BSW043,Unknown,Unknown,Silicon,1,3.5,1,1.8,50 - 75 g
fire-boltt,1794.0,7999.0,77.57219652,4.1,33012.0,BSW024,Unknown,Unknown,Silicon,1,8.0,1,1.7,35 - 50 g
fire-boltt,3499.0,11999.0,70.8392366,4.1,44170.0,BSW005,Unknown,Unknown,Silicon,1,3.5,1,1.9,75g +
fire-boltt,2499.0,18999.0,86.84667614,4.2,11.0,BSW073,Unknown,Unknown,Unknown,1,3.5,1,1.9,75g +
fire-boltt,1399.0,11999.0,88.34069506,4.1,1519.0,BSW037,Unknown,Unknown,Silicon,1,8.0,1,1.8,75g +
fire-boltt,1899.0,8999.0,78.8976553,4.0,15543.0,BSW003,Unknown,Unknown,Silicon,1,8.0,1,1.3,50 - 75 g
fire-boltt,1799.0,11999.0,85.00708392,4.3,39274.0,BSW100,Unknown,Unknown,Unknown,1,3.5,1,1.4,75g +
apple,29650.0,29900.0,0.836120401,4.5,154.0,Watch SE GPS (2nd Gen),Rectangle,Midnight,Silicon,1,22.0,1,1.6,<= 20 g
apple,37900.0,7999.0,-373.80922615326915,4.4,65.0,Watch SE GPS + Cellular (2nd Gen),Rectangle,Starlight Sport,Silicon,1,22.0,1,1.7,<= 20 g
apple,23349.0,23900.0,2.305439331,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Space Grey Aluminium Case with Black Sport Band",Rectangle,Black,Silicon,1,22.0,1,1.7,20 - 35 g
apple,33900.0,7999.0,-323.8029753719215,4.6,3440.0,Watch SE GPS + Cellular,Rectangle,Pink,Silicon,1,22.0,1,1.6,<= 20 g
apple,89900.0,7999.0,-1023.8904863107889,4.7,51.0,Watch Ultra GPS + Cellular,Rectangle,Orange Alpine,Fabric,1,3.5,1,1.9,75g +
apple,55900.0,7999.0,-598.8373546693336,4.5,132.0,Watch Series 8 GPS + Cellular,Rectangle,Starlight Sport,Silicon,1,22.0,1,1.6,<= 20 g
apple,44730.0,44900.0,0.378619154,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,1,22.0,1,1.8,20 - 35 g
apple,41900.0,7999.0,-423.8154769346168,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Green Aluminium Case with Clover Sport Band",Rectangle,Green,Aluminium,1,22.0,1,1.6,<= 20 g
apple,29900.0,7999.0,-273.79672459057383,4.6,5502.0,"Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,1,22.0,1,1.6,<= 20 g
apple,49666.0,50900.0,2.424361493,4.5,1519.0,"Watch Series7 (GPS + Cellular, 41mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.6,<= 20 g
apple,53900.0,7999.0,-573.8342292786598,4.5,1519.0,"Watch Series7 (GPS + Cellular, 45mm)Blue Aluminium Case-Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.8,20 - 35 g
apple,49900.0,7999.0,-523.8279784973122,4.5,1349.0,Watch Series 6 GPS + Cellular,Rectangle,Black,Silicon,1,22.0,1,1.6,20 - 35 g
apple,48900.0,7999.0,-511.32641580197526,4.3,158.0,Watch Series 8 GPS,Rectangle,Starlight Sport,Silicon,1,22.0,1,1.8,20 - 35 g
apple,29900.0,7999.0,-273.79672459057383,4.6,5502.0,"Watch SE(GPS, 40mm) - Silver Aluminium Case with Abyss Blue Sport Band - Regular",Rectangle,Silver,Silicon,1,22.0,1,1.6,<= 20 g
apple,29900.0,7999.0,-273.79672459057383,4.6,5502.0,Apple Watch SE,Rectangle,White,Silicon,1,22.0,1,1.6,<= 20 g
apple,32899.0,32900.0,0.003039514,4.6,5502.0,"Watch SE (GPS, 44mm) - Space Grey Aluminium Case with Midnight Sport Band",Rectangle,Grey,Silicon,1,22.0,1,1.7,20 - 35 g
apple,22900.0,23900.0,4.184100418,4.6,55800.0,"Watch Series 3 (GPS, 42mm) - Silver Aluminium Case with White Sport Band",Rectangle,White,Silicon,1,22.0,1,1.7,20 - 35 g
apple,41900.0,7999.0,-423.8154769346168,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Midnight Aluminium Case with Midnight Sport Band",Rectangle,Black,Aluminium,1,22.0,1,1.6,<= 20 g
apple,53900.0,7999.0,-573.8342292786598,4.5,1519.0,Watch Series7 (GPS+Cellular-45mm)Green Aluminium Case-Clover Sport Band,Rectangle,Green,Aluminium,1,22.0,1,1.8,20 - 35 g
apple,44900.0,7999.0,-461.32016502062754,4.6,2847.0,Watch Series7 (GPS-45mm) (PRODUCT)RED Aluminium Case-(PRODUCT)RED Sport Band,Rectangle,Red,Aluminium,1,22.0,1,1.8,20 - 35 g
apple,44900.0,7999.0,-461.32016502062754,4.6,2847.0,"Watch Series7 (GPS, 45mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.8,20 - 35 g
apple,41900.0,7999.0,-423.8154769346168,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Blue Aluminium Case with Abyss Blue Sport Band",Rectangle,Blue,Aluminium,1,22.0,1,1.6,<= 20 g
apple,40900.0,7999.0,-411.31391423927994,4.5,1720.0,Watch Series 6 GPS,Rectangle,Black,Silicon,1,22.0,1,1.6,20 - 35 g
apple,41900.0,7999.0,-423.8154769346168,4.6,2847.0,"Watch Series7 (GPS, 41mm) - Starlight Aluminium Case with Starlight Sport Band",Rectangle,White,Aluminium,1,22.0,1,1.6,<= 20 g
apple,32900.0,7999.0,-311.30141267658456,4.6,5502.0,"Watch SE (GPS, 44mm) - Gold Aluminium Case with Starlight Sport Band - Regular",Rectangle,Gold,Silicon,1,22.0,1,1.7,20 - 35 g
apple,73900.0,7999.0,-823.8654831853981,4.5,1519.0,"Watch Series7(GPS+Cellular, 41mm)-Gold Stainless Steel Case-Gold Milanese Loop",Rectangle,Gold,Stainless Steel,1,22.0,1,1.6,<= 20 g
noise,1999.0,5999.0,66.67777963,4.2,80483.0,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Rectangle,Black,Silicon,1,22.0,1,1.8,20 - 35 g
noise,1299.0,3999.0,67.51687922,4.2,27445.0,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Square,Black,Silicon,1,22.0,1,1.7,20 - 35 g
noise,1799.0,4999.0,64.01280256,4.2,219512.0,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Rectangle,Black,Silicon,1,22.0,1,1.7,20 - 35 g
noise,1499.0,4999.0,70.0140028,3.4,504.0,"ColorFit Caliber 2 with 1.83'' display Up to 12 Day Battery, 60 sports mode",Rectangle,Green,Silicon,1,8.0,1,1.8,20 - 35 g
noise,1599.0,4999.0,68.01360272,4.3,4398.0,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",Rectangle,Green,Silicon,1,22.0,1,1.7,20 - 35 g
noise,1499.0,3999.0,62.51562891,4.2,275607.0,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Square,White,Silicon,1,8.0,1,1.7,20 - 35 g
noise,3999.0,6999.0,42.86326618,4.4,12469.0,"Evolve 3, 1.43"" AMOLED AOD, 466*466px, 500 nits, BT calling,Tru Sync Technology",Circle,Black,Silicon,1,22.0,1,1.4,20 - 35 g
noise,2999.0,7999.0,62.50781348,4.3,11755.0,ColorFit Vision 2 Buzz,Square,Black,Silicon,1,22.0,1,1.8,20 - 35 g
noise,2999.0,5999.0,50.00833472,4.3,13108.0,"ColorFit Pro4 BT Calling 1.72"" TruView Display, Fully-functional digital crown",Rectangle,Black,Silicon,1,22.0,1,1.7,20 - 35 g
noise,2499.0,6999.0,64.29489927,4.3,3944.0,"ColorFit Loop Advanced BT Calling with 1.85"" display,130+Sports Modes",Square,Grey,Silicon,1,22.0,1,1.9,20 - 35 g
noise,1299.0,4999.0,74.01480296,4.1,142612.0,"Qube with 1.4"" Full Touch display, Multi-Sports modes, 7-day Battery,Spo2",Square,Black,Thermo Plastic Polyurethene,1,22.0,1,1.4,20 - 35 g
noise,2999.0,8999.0,66.6740749,4.1,22942.0,"Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Circle,Black,Silicon,1,22.0,1,1.3,20 - 35 g
noise,3799.0,5999.0,36.6727788,4.2,6004.0,"ColorFit Pro4 Max 1.8"" BT Calling, Noise detection, Noise Health Suite",Rectangle,Black,Silicon,1,22.0,1,1.8,20 - 35 g
noise,1499.0,4999.0,70.0140028,4.1,148555.0,ColorFit Pro 2,Rectangle,Black,Synthetic,1,22.0,1,1.3,<= 20 g
noise,1799.0,5999.0,70.01166861,4.2,32505.0,ColorFit Brio,Rectangle,Black,Thermo Plastic Polyurethene,1,22.0,1,1.5,20 - 35 g
noise,1999.0,5999.0,66.67777963,4.1,69379.0,ColorFit Pro 3,Rectangle,Black,Thermo Plastic Polyurethene,1,3.5,1,1.6,20 - 35 g
noise,1499.0,3999.0,62.51562891,4.0,6638.0,"Core 2 1.28"" Display , Noisefit sync app, 100+ watch faces & 50+ Sports Modes",Circle,Black,Silicon,1,22.0,1,1.3,20 - 35 g
noise,1799.0,5999.0,70.01166861,4.1,3506.0,"ColorFit Caliber 2 Buzz Advanced BT Calling, 1.85"" display,10 days battery",Square,Black,Silicon,1,22.0,1,1.8,20 - 35 g
noise,1799.0,3999.0,55.01375344,4.2,5970.0,X-Fit 2 (HRX Edition) Smart Watch with 1.69inch Display & 60 Sports Modes,Rectangle,Grey,Silicon,1,22.0,1,1.7,20 - 35 g
boat,1799.0,7990.0,77.48435544,4.1,125524.0,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,Rectangle,Blue,Silicon,1,22.0,1,1.7,20 - 35 g
boat,1699.0,5990.0,71.6360601,4.0,98388.0,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",Rectangle,Black,Silicon,1,22.0,1,1.7,20 - 35 g
boat,2499.0,8990.0,72.20244716,4.2,2893.0,"Wave Infinity with 1.85"" HD Screen, Functional Crown and Bluetooth Calling",Rectangle,Black,Silicon,1,22.0,1,1.9,20 - 35 g
boat,3299.0,9799.0,66.33329932,4.1,13261.0,"Storm Pro Call with Bluetooth Calling, 1.78'' AMOLED Display and ASAP Charge",Rectangle,Red,Silicon,1,22.0,1,1.8,20 - 35 g
boat,1499.0,5990.0,74.97495826,4.1,45492.0,Wave beat 1.69Inch HD display with complete health monitoring,Rectangle,Red,Silicon,1,22.0,1,1.6,20 - 35 g
boat,2499.0,5990.0,58.28046745,4.2,39734.0,"Wave Connect with Bluetooth Calling, Voice Assistant and 1.69"" HD Display",Rectangle,Grey,Silicon,1,22.0,1,1.7,20 - 35 g
boat,1299.0,6990.0,81.41630901,3.9,17456.0,Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,Rectangle,Purple,Silicon,1,22.0,1,1.7,20 - 35 g
boat,1299.0,5990.0,78.31385643,4.1,619130.0,"Storm 1.3"" CurvedDisplay",Square,Blue,Thermo Plastic Polyurethene,1,22.0,1,1.3,20 - 35 g
boat,1999.0,8999.0,77.78642071,3.9,6469.0,"Storm Pro with 1.78"" AMOLED Display, 700+ Active Modes",Rectangle,Black,Silicon,1,22.0,1,1.8,20 - 35 g
boat,2499.0,7990.0,68.72340426,4.0,8179.0,Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,Rectangle,Green,Silicon,1,22.0,1,1.8,20 - 35 g
